Name,Year Founded,Age,Industry 1,Industry 2,R&D Origin,Active Patents,Product Type 1,Product Type 2,Product Type 3,Number of Founders,Number of Technical Founders,Technicality Percentage,Founder 1 Experience,Founder 2 Experience,Founder 3 Experience,Founder 1 Background,Founder 2 Background,Founder 3 Background,Founder 1 Education,Founder 2 Education,Founder 3 Education,Scalability Index,Target Customers 1,Target Customers 2,Target Customers 3,Revenue Model 1,Revenue Model 2,Morality Score,"""Wait What"" Score",Problem Urgency Score,VC Funding,Grant Funding,Debt Financing,Preseed (Accelerator),Seed,Series A,Series B,Series C,Series D,Series E,Series F,Series G+,Valuation Multiple,Exit?,Year Exited,Exit Valuation,Exit Multiple,YTD Funding,YTD Valuation,YTD Multiple,Post-Series B?,Lux Partner,Notes,
Statespace,2017,5,NeuroTech,AI,Academia,0,Data,Software,Service,2,2,1.000,First time founders,Repeat founders,,Academia background,Academia background,,Postdoc,Faculty,,5,Consumers,Businesses,,Other,,5,5,1,102.11,0,0,,10,40.62,129.17,550,,,,,55.00,Didn't Exit,,,,102.11,550,55.00,Yes,,NYU scientists founded,
Stord,2015,7,Infrastructure,Supply Chain,Other,0,Software,Service,,2,1,0.500,Repeat founders,Repeat founders,,Startup background,Startup background,,Bachlor's,Bachlor's,,4,Businesses,,,Contracts,Subscription,5,2,5,320.96,0,0,,9.63,45,191,510,1130,1300,,,134.99,Didn't Exit,,,,320.96,1300,134.99,Yes,Brandon Reeves,,
Strateos,2012,10,BioTech,Robotics,Academia,1,Service,Software,Hardware,3,2,0.667,First time founders,Repeat founders,First time founders,Big tech background,Startup background,Government background,Master's,Bachlor's,Master's,5,Businesses,University,,Subscription,Contracts,7,3,5,85.5,0,0,,52,136.5,216,,,,,,4.15,Didn't Exit,,,,85.5,216,4.15,Yes,Josh Wolfe,3Scan and Transcriptic in 2019 to form Strateos,
Subspace,2018,4,Connectivity,Infrastructure,Corporation,1,Service,Software,Hardware,2,2,1.000,Exited founders,First time founders,,Startup background,Startup background,,Bachlor's,Bachlor's,,8,Businesses,Government,,Unit Sale,,6,4,2,108.98,0,0,,11,46,75,142.5,236,246.98,0,,0.00,Didn't Exit,,,,108.98,0,0.00,Yes,Shahin Farshchi,"Out of business in early 2022, death by cap table mismanagement (investors owned 97%)",
Survios,2012,10,VR/AR,,Academia,1,Software,,,3,3,1.000,First time founders,Repeat founders,First time founders,Academia background,Academia background,Big tech background,Master's,Bachlor's,Master's,4,Consumers,Businesses,,Unit Sale,Contracts,5,4,1,105.9,0,1.98,,,16.2,45.64,156,185,,,,11.42,Didn't Exit,,,,107.88,185,11.42,Yes,Shahin Farshchi,USC spinout,
Tecton,2019,3,AI,Infrastructure,Corporation,0,Software,Data,,3,2,0.667,First time founders,Repeat founders,First time founders,Big tech background,Big tech background,Big tech background,Bachlor's,Master's,Bachlor's,9,Businesses,,,Unit Sale,,5,5,3,60,0,0,,20,80,140,,,,,,7.00,Didn't Exit,,,,60,140,7.00,Yes,Brandon Reeves,"Uber spinout, led by Sequoia, a16z",
Tempo Automation,2013,8,Manufacturing,Robotics,Other,1,Software,Hardware,,3,1,0.333,First time founders,First time founders,First time founders,Big tech background,Big tech background,Big tech background,Bachlor's,Master's,Bachlor's,6,Businesses,Government,,Contracts,,5,5,3,465.56,0,2.5,,6.24,32,100,200,,,,,,IPO,2021,919,147.28,468.06,919,147.28,Yes,,,
Thrive Earlier Detection,2019,2,BioTech,AI,Academia,0,Biology,Software,Service,4,4,1.000,First time founders,First time founders,First time founders,Academia background,Academia background,Academia background,PhD,Faculty,Faculty,5,Businesses,Government,,Contracts,,10,8,7,367,0,0,,,165,677,,,,,,,M&A,2021,2190,13.27,367,2190,13.27,Yes,,Johns Hopkins spinout,
Transphorm,2007,8,Energy,Semiconductor,Academia,59,Hardware,,,2,2,1.000,First time founders,First time founders,,Academia background,Academia background,,PhD,Faculty,,6,Businesses,Government,,Contracts,,7,6,7,174.01,0,0,,,14.34,30.8,77.78,165.8,246.46,203.07,223.88,,M&A,2015,116.36,8.11,174.01,116.36,8.11,Yes,Peter Hebert,UCSB spinout,
Varda,2020,2,Aerospace,Manufacturing,Other,0,Hardware,Service,,3,2,0.667,First time founders,Repeat founders,First time founders,Big tech background,Finance background,Academia background,Master's,High School,Master's,4,Businesses,Government,University,Contracts,,7,8,3,53,0,0,,27,147,,,,,,,5.44,Didn't Exit,,,,53,147,5.44,,Shahin Farshchi,"Delian was Chief of Staff/Principal under Keith Rabois at Khosla, went to Founder's Fund with him",
Variant Bio,2018,4,BioTech,,Academia,0,Biology,Software,,3,3,1.000,First time founders,Repeat founders,Repeat founders,Big tech background,Academia background,Startup background,PhD,Postdoc,Postdoc,2,Businesses,Government,,Contracts,,10,9,7,131.24,0,0,,5.54,30,38.09,225,,,,,40.61,Didn't Exit,,,,131.24,225,40.61,Yes,Josh Wolfe,New York Genome Center spinout,
Veo Robotics,2016,6,Robotics,CV,Other,1,Hardware,Software,,3,3,1.000,Exited founders,Repeat founders,First time founders,Startup background,Startup background,Big tech background,PhD,Bachlor's,PhD,6,Businesses,Government,,Contracts,,6,7,3,40,0,0,,4,25,67,72.23,,,,,18.06,Didn't Exit,,,,40,72.23,18.06,Yes,Bilal Zuberi,CTO was Formlabs,
Visterra,2007,11,BioTech,,Academia,7,Biology,Software,,2,2,1.000,Repeat founders,Repeat founders,,Academia background,Startup background,,Faculty,PhD,,4,Businesses,Government,,Contracts,,10,10,7,122.57,29.1,6,5.62,9.24,65,111.25,188.6,,,,,,M&A,2018,430,76.51,157.67,430,76.51,Yes,,Ram S. (MIT prof) cofounded Cerulean (IPO'd 2014) and Momenta (acq'rd J&J 2020). Alan Crane cofounded Dyno,
Vium,2013,7,BioTech,Infrastructure,Other,7,Hardware,Software,,2,2,1.000,Repeat founders,First time founders,,Startup background,Big tech background,,Master's,PhD,,7,Businesses,Government,University,Unit Sale,Subscription,10,5,7,53.94,0,0.67,,3.42,31.03,139.8,,,,,,40.88,M&A,2020,,,54.61,139.8,40.88,Yes,Peter Hebert,Acquired by Recursion,
Workit Health,2014,8,HealthTech,,Other,0,Service,Software,Biology,2,0,0.000,First time founders,Repeat founders,,Academia background,Startup background,,Master's,Bachlor's,,4,Consumers,,,Unit Sale,,9,3,5,141.87,0.23,0,7.5,15.9,23.8,48,518,,,,,69.07,Didn't Exit,,,,142.1,518,69.07,Yes,,,
Yonder,2015,7,Security,AI,Corporation,0,Software,,,4,2,0.500,First time founders,First time founders,First time founders,Startup background,Government background,Startup background,Bachlor's,High School,PhD,6,Businesses,Government,,Subscription,Contracts,7,5,5,18.9,0,0,5.67,15.3,51.4,,,,,,,9.07,M&A,2022,,,18.9,51.4,9.07,,Bilal Zuberi,Acquired by Primer,
Zededa,2016,6,Infrastructure,,Corporation,0,Software,,,4,4,1.000,First time founders,First time founders,First time founders,Big tech background,Big tech background,Big tech background,Bachlor's,Master's,Bachlor's,5,Businesses,,,Subscription,,5,2,2,31.56,0,0,,9.18,45.92,,,,,,,5.00,Didn't Exit,,,,31.56,45.92,5.00,,Bilal Zuberi,Linux Foundation spinout,
Zoox,2014,6,Mobility,Robotics,Academia,210,Hardware,Software,Service,2,2,1.000,Repeat founders,First time founders,,Startup background,Academia background,,Bachlor's,PhD,,3,Consumers,,,Unit Sale,,5,10,3,1040,0,0,,160,1550,1770,3200,,,,,,M&A,2020,1300,8.13,1040,1300,8.13,Yes,Shahin Farshchi,Stanford FSD research spinout,
Impulse Space,2021,1,Aerospace,Infrastructure,Corporation,0,Hardware,Service,,1,1,1.000,Exited founders,,,Startup background,,,Master's,,,5,Businesses,Government,,Contracts,,5,8,3,30,0,0,,120,,,,,,,,1.00,Didn't Exit,,,,30,120,1.00,,Shahin Farshchi,"SpaceX spinout, founder is Tom Mueller",
Momentus,2017,4,Aerospace,Infrastructure,Other,1,Hardware,Service,,2,0,0.000,Exited founders,First time founders,,Startup background,Finance background,,Master's,PhD,,5,Businesses,Government,,Subscription,Contracts,6,9,2,372.04,0,0.97,1.71,33.2,102,212,1500,,,,,,M&A,2021,814,24.52,373.01,814,24.52,Yes,,Cofounder Mikhail now founder of Destinus,
Heliogen,2013,8,Energy,ClimateTech,Corporation,5,Hardware,Other,,1,0,0.000,Exited founders,,,Startup background,,,Bachlor's,,,3,Businesses,,,Contracts,,8,8,8,130.14,39,0,,,7.74,13.13,21.92,22.75,31.5,107,,,IPO,2021,2000,258.40,169.14,2000,258.40,Yes,,"Bill Gross, 9x exit, IdeaLab founder & spinout",
Vaxxinity,2020,1,BioTech,,Corporation,0,Biology,,,2,0,0.000,Exited founders,Repeat founders,,Finance background,Startup background,,PhD,Master's,,7,Businesses,Consumers,,Contracts,Unit Sale,10,7,7,85,0,0,,,100,,,,,,,,IPO,2021,2129,21.29,85,2129,21.29,,,"Mei Mei Hu, McKinsey Consultant --> United Biomedical --> 5x spinouts. United Biomedical spinout",Funding data from PB
Gilgamesh,2019,3,BioTech,NeuroTech,Academia,0,Biology,,,5,5,1.000,Exited founders,First time founders,First time founders,Big tech background,Academia background,Academia background,PhD,Faculty,Faculty,5,Businesses,Consumers,,Contracts,Unit Sale,10,7,7,48.36,0,0,,,6.6,25,87,159.76,,,,24.21,Didn't Exit,,,,48.36,159.76,24.21,Yes,,"Columbia spinout, YC S2020",
Upward Farms,2013,9,Food,Agriculture,Other,2,Other,Hardware,,3,3,1.000,First time founders,First time founders,First time founders,Academia background,Other,Other,Master's,Master's,Bachlor's,3,Consumers,,,Unit Sale,,7,7,7,154,0,0,,12.6,45,460,,,,,,36.51,Didn't Exit,,,,154,460,36.51,Yes,,3 NYU students,
Halo Industries,2014,8,Manufacturing,Infrastructure,Academia,0,Hardware,Service,,3,3,1.000,First time founders,Repeat founders,First time founders,Academia background,Academia background,Big tech background,PhD,PhD,PhD,6,Businesses,,,Contracts,,5,6,4,24.5,10.22,0,,15,67.5,168,,,,,,11.20,Didn't Exit,,,,34.72,168,11.20,Yes,,Stanford spinout,
Tarana,2009,13,Connectivity,Infrastructure,Academia,14,Hardware,Service,,4,4,1.000,First time founders,First time founders,Exited founders,Academia background,Academia background,Startup background,Postdoc,PhD,Master's,6,Businesses,,,Contracts,,6,7,4,495.05,0,3.46,,29.14,46,51,101,128.23,165,190,1000,34.32,Didn't Exit,,,,498.51,1000,34.32,Yes,,UC Berkeley spinout,
Boom,2014,8,Aerospace,,Other,1,Hardware,Service,,3,2,0.667,Exited founders,Repeat founders,Exited founders,Startup background,Big tech background,Startup background,Bachlor's,Master's,Master's,3,Businesses,Government,Consumers,Contracts,Unit Sale,6,9,3,269.13,0,0,1.71,19.08,136.87,850,888.13,1210,,,,63.42,Didn't Exit,,,,269.13,1210,63.42,Yes,,"2 founders exited to Groupon before starting Boom, YC W16",
Energy Vault,2017,5,Energy,Infrastructure,Corporation,1,Service,Hardware,Software,1,0,0.000,Repeat founders,,,Big tech background,,,Master's,,,2,Businesses,Government,,Contracts,,7,5,8,438.2,0,0,,6.6,31.6,220,700,,,,,,IPO,2022,1236.36,187.33,438.2,1236.36,187.33,Yes,,IdeaLab spinout,
Pyka,2017,5,Aerospace,Agriculture,Other,0,Hardware,,,4,3,0.750,First time founders,First time founders,First time founders,Big tech background,Finance background,Big tech background,Bachlor's,Master's,PhD,5,Businesses,Government,,Unit Sale,,5,7,3,48.13,0,0.17,1.79,33,112,,,,,,,3.39,Didn't Exit,,,,48.3,112,3.39,,,,
Paradromics,2015,7,NeuroTech,,Academia,4,Hardware,Software,Data,2,2,1.000,First time founders,First time founders,,Academia background,Academia background,,Postdoc,Faculty,,3,Consumers,Businesses,,Unit Sale,Contracts,10,8,3,38.37,29.98,3.52,,26.64,56.23,,,,,,,2.11,Didn't Exit,,,,71.87,56.23,2.11,,,Stanford spinout,
Focused Energy,2021,1,Energy,ClimateTech,Academia,1,Hardware,Other,,4,3,0.750,Exited founders,Repeat founders,First time founders,Startup background,Academia background,Big tech background,Master's,Faculty,PhD,3,Businesses,Government,,Contracts,,10,8,10,15,0,0,,45,,,,,,,,1.00,Didn't Exit,,,,15,45,1.00,,,UT Austin spinout,
Iridia,2016,6,Infrastructure,Semiconductors,Other,3,Hardware,Biology,Data,2,2,1.000,Exited founders,First time founders,,Startup background,Big tech background,,Postdoc,Postdoc,,6,Businesses,Government,,Contracts,,6,10,4,31.84,0,0,,1.2,3.94,5.5,46,60,,,,50.00,Didn't Exit,,,,31.84,60,50.00,Yes,,,
Fort Robotics,2018,4,Robotics,IoT,Corporation,2,Hardware,Software,,1,0,0.000,Repeat founders,,,Startup background,,,Bachlor's,,,7,Businesses,Government,,Contracts,,6,7,4,16.5,0,0,,12,45,,,,,,,3.75,Didn't Exit,,,,16.5,45,3.75,,,Humanistic Robotics spinout,
Cognixion,2013,9,NeuroTech,VR/AR,Other,2,Software,Hardware,,2,1,0.500,Repeat founders,First time founders,,Big tech background,Other,,Bachlor's,Bachlor's,,5,Consumers,,,Subscription,Unit Sale,9,10,7,19.88,0.15,0,,6,14.66,,,,,,,2.44,Didn't Exit,,,,20.03,14.66,2.44,,,"World View Enterprises spinout, $1k per seat",
Space Perspective,2019,3,Aerospace,Mobility,Corporation,1,Service,Hardware,,3,2,0.667,Repeat founders,Repeat founders,First time founders,Startup background,Startup background,Finance background,Bachlor's,Bachlor's,Bachlor's,3,Consumers,,,Unit Sale,,5,8,1,64,0,0,,17,100,,,,,,,5.88,Didn't Exit,,,,64,100,5.88,,,,
Commonwealth Fusion Systems,2017,5,Energy,ClimateTech,Academia,1,Other,Hardware,,6,6,1.000,First time founders,First time founders,First time founders,Academia background,Academia background,Academia background,Postdoc,Postdoc,Postdoc,2,Businesses,Government,,Contracts,,10,10,10,2060,3.7,0,,258.36,460,504,7200,,,,,27.87,Didn't Exit,,,,2063.7,7200,27.87,Yes,,MIT spinout,
Axiom Space,2016,6,Aerospace,Infrastructure,Government,3,Hardware,Service,,2,1,0.500,First time founders,Exited founders,,Government background,Startup background,,Bachlor's,Master's,,1,Government,Businesses,Consumers,Contracts,,8,9,4,224.25,0,60,,23,740,,,,,,,32.17,Didn't Exit,,,,284.25,740,32.17,,,Founded by NASA's long time director (retired),
Turntide,2013,9,IoT,Infrastructure,Academia,15,Hardware,Software,,3,2,0.667,Exited founders,First time founders,First time founders,Big tech background,Big tech background,Big tech background,Master's,Master's,PhD,6,Businesses,Government,,Unit Sale,,10,9,10,262.57,0.97,1.91,,0.65,50.97,92.52,178.68,335,,,,515.38,Didn't Exit,,,,265.45,335,515.38,Yes,,Illinois Institute of Tech spinout,
Epirus,2018,4,Defense,AI,Corporation,1,Hardware,Software,,5,2,0.400,First time founders,Exited founders,First time founders,Big tech background,Startup background,Big tech background,PhD,Bachlor's,Master's,5,Government,Businesses,,Unit Sale,,6,10,3,290.59,0.14,0,,9.2,77.39,370,1350,,,,,146.74,Didn't Exit,,,,290.73,1350,146.74,Yes,,"Raytheon spinout, one cofounder also cofounded epsilon3",
Archer,2018,3,Aerospace,Mobility,Other,0,Hardware,,,1,0,0.000,Exited founders,,,Startup background,,,Master's,,,4,Businesses,,,Contracts,,6,8,3,2180,0,0,,16,150,,,,,,,,IPO,2021,1588,99.25,2180,1588,99.25,,,,
Spartan,2020,2,Radar,,Corporation,0,Hardware,Software,,5,3,0.600,First time founders,First time founders,Exited founders,Big tech background,Big tech background,Startup background,Master's,Master's,Bachlor's,7,Businesses,,,Contracts,,5,7,2,25,0,0,,40,60,,,,,,,1.50,Didn't Exit,,,,25,60,1.50,,,Cofounder also founded Epirus. Physical Optics Corporation spinout,
Oceanix,2018,4,PropTech,Infrastructure,Other,0,Other,,,2,0,0.000,First time founders,Repeat founders,,Other,Startup background,,Master's,Bachlor's,,1,Consumers,Businesses,Government,Other,,6,7,1,4.1,0,0,,7.1,14,,,,,,,1.97,Didn't Exit,,,,4.1,14,1.97,,,,
Attune Neurosciences,2019,3,NeuroTech,HealthTech,Academia,0,Hardware,Software,,4,3,0.750,Exited founders,Repeat founders,First time founders,Startup background,Startup background,Academia background,Master's,Faculty,Postdoc,5,Government,Businesses,,Contracts,,7,6,5,3.75,0.32,0,,10.75,,,,,,,,1.00,Didn't Exit,,,,4.07,10.75,1.00,,,Stanford spinout,
Venus Aerospace,2019,3,Aerospace,Mobility,Corporation,0,Hardware,Service,,2,2,1.000,First time founders,Repeat founders,,Big tech background,Big tech background,,Master's,PhD,,3,Consumers,Businesses,Government,Unit Sale,Contracts,6,9,2,57.22,1,0,,8.67,74.8,,,,,,,8.63,Didn't Exit,,,,58.22,74.8,8.63,,,Virgin Orbit spinout,
Diamond Age,2018,4,PropTech,Robotics,Other,2,Hardware,Service,,2,1,0.500,Exited founders,First time founders,,Startup background,Big tech background,,Bachlor's,Master's,,5,Businesses,Consumers,Government,Contracts,Unit Sale,6,9,5,58.06,0,0,,18.06,140,,,,,,,7.75,Didn't Exit,,,,58.06,140,7.75,,,,
Iviva Medical,2015,7,BioTech,,Academia,0,Biology,,,1,1,1.000,First time founders,,,Academia background,,,Faculty,,,6,Consumers,Businesses,,Contracts,,10,7,7,13.65,0.1,0,,12.35,23.5,,,,,,,1.90,Didn't Exit,,,,13.75,23.5,1.90,,,Harvard spinout,
Alpha Insights,2020,2,Aerospace,Infrastructure,Other,3,Hardware,Data,Software,2,1,0.500,Exited founders,First time founders,,Startup background,Big tech background,,Master's,Master's,,5,Businesses,Government,,Contracts,,6,6,4,0.12,0,0,1.71,,,,,,,,,1.00,Didn't Exit,,,,0.12,1.71,1.00,,,,
Optios,2015,7,NeuroTech,,Academia,0,Hardware,Software,,1,1,1.000,Exited founders,,,Startup background,,,PhD,,,5,Consumers,,,Unit Sale,,6,8,3,6.49,0,0,,25.96,,,,,,,,1.00,Didn't Exit,,,,6.49,25.96,1.00,,,Columbia spinout or OpenBCI spinout,
Nelumbo,2015,7,Materials,NanoTech,Academia,1,Hardware,,,2,2,1.000,First time founders,First time founders,,Academia background,Academia background,,Master's,PhD,,6,Businesses,Government,,Contracts,,7,6,8,16.15,3.05,0,,14.98,40.3,,,,,,,2.69,Didn't Exit,,,,19.2,40.3,2.69,,,UC Berkeley spinout,
E-Space,2021,1,Aerospace,Connectivity,Corporation,0,Hardware,Service,,1,0,0.000,Exited founders,,,Startup background,,,Master's,,,3,Businesses,Government,,Contracts,,7,3,5,50,0,0,,200,,,,,,,,1.00,Didn't Exit,,,,50,200,1.00,,,OneWeb founder & spinout,
MycoWorks,2013,9,Materials,BioTech,Other,3,Biology,,,3,1,0.333,First time founders,First time founders,First time founders,Other,Other,Big tech background,Master's,PhD,Master's,5,Businesses,,,Contracts,,8,6,8,191.2,0,0.59,,,30,125,450,,,,,15.00,Didn't Exit,,,,191.79,450,15.00,Yes,,"Cofounder Phil was an artist, grew mycelin in upstate NY for art",
Carbon Capture,2019,3,ClimateTech,Energy,Corporation,0,Service,Other,,1,0,0.000,Exited founders,,,Startup background,,,Bachlor's,,,3,Businesses,Government,,Contracts,,10,6,10,43.6,0,0,,22.6,120,,,,,,,5.31,Didn't Exit,,,,43.6,120,5.31,,,Idealab spinout,
Atom Computing,2018,4,NanoTech,Quantum,Corporation,2,Hardware,Software,Service,2,2,1.000,First time founders,First time founders,,Startup background,Academia background,,PhD,Postdoc,,3,Businesses,Government,,Contracts,,7,7,4,79.85,0.98,0,,12,51,238.85,,,,,,19.90,Didn't Exit,,,,80.83,238.85,19.90,Yes,,Rigetti Computing + Berkeley spinout,
Elevian,2017,5,BioTech,,Academia,0,Biology,,,9,7,0.778,Exited founders,Repeat founders,First time founders,Startup background,Finance background,Academia background,PhD,PhD,Faculty,5,Consumers,Businesses,,Unit Sale,Contracts,10,10,10,55.3,0,0,,40.3,100,,,,,,,2.48,Didn't Exit,,,,55.3,100,2.48,,,"Harvard spinout, ties to Iviva, CoVaxx, Human Longevity",
Unlimited Tomorrow,2014,8,HealthTech,Robotics,Other,2,Hardware,Software,,2,1,0.500,First time founders,Repeat founders,,Other,Finance background,,High School,High School,,4,Consumers,Businesses,,Unit Sale,Contracts,10,5,7,8.74,0,0,,11.72,,,,,,,,1.00,Didn't Exit,,,,8.74,11.72,1.00,,,Tony Robbins & Easton LaChappelle,
polySpectra,2013,9,Manufacturing,Materials,Academia,0,Service,Hardware,,1,1,1.000,First time founders,,,Academia background,,,PhD,,,5,Consumers,Businesses,,Unit Sale,,5,3,3,9.42,4.93,0,,22.42,,,,,,,,1.00,Didn't Exit,,,,14.35,22.42,1.00,,,Caltech spinout,
Noble.AI,2017,5,AI,,Academia,1,Software,,,1,1,1.000,First time founders,,,Academia background,,,PhD,,,9,Consumers,Businesses,,Subscription,,6,7,5,15.5,0,0,,12,41.14,,,,,,,3.43,Didn't Exit,,,,15.5,41.14,3.43,,,Rice University spinout,
Gordian,2018,4,BioTech,,Academia,0,Biology,Software,,2,2,1.000,Repeat founders,First time founders,,Startup background,Academia background,,PhD,Postdoc,,3,Businesses,,,Contracts,,10,6,7,51.5,0,0,,30,170,,,,,,,5.67,Didn't Exit,,,,51.5,170,5.67,,,Buck Institute for Research on Aging spinout,
